OperationID,Date,Item,Operation,Quantity,Region,Price,Fees,Volume,Target,Total,Grant Total
44,10/21/2025,Nitrogen Isotopes,Incoming goods,293500,Jita,806.1,0.0,8805.0,Anyed,806.1,236590350.0
45,10/21/2025,Oxygen Isotopes,Incoming goods,293500,Jita,863.0,0.0,8805.0,Anyed,863.0,253290500.0
46,10/21/2025,Oxygen,Outgoing goods,9570,Anyed,0.0,0.0,1818.3,Anyed,0.0,0.0
47,10/21/2025,Coolant,Outgoing goods,3920,Anyed,0.0,0.0,2940.0,Anyed,0.0,0.0
48,10/21/2025,Enriched Uranium,Outgoing goods,1740,Anyed,0.0,0.0,1305.0,Anyed,0.0,0.0
49,10/21/2025,Mechanical Parts,Outgoing goods,1740,Anyed,0.0,0.0,1305.0,Anyed,0.0,0.0
50,10/21/2025,Robotics,Outgoing goods,500,Anyed,0.0,0.0,1500.0,Anyed,0.0,0.0
51,10/21/2025,Liquid Ozone,Outgoing goods,152190,C-J6MT,0.0,0.0,60876.0,Anyed,0.0,0.0
52,10/21/2025,Heavy Water,Outgoing goods,76095,C-J6MT,0.0,0.0,30438.0,Anyed,0.0,0.0
53,10/21/2025,Strontium Clathrates,Outgoing goods,8700,C-J6MT,0.0,0.0,26100.0,Anyed,0.0,0.0
54,10/21/2025,Nitrogen Isotopes,Outgoing goods,195670,C-J6MT,0.0,0.0,5870.099999999999,Anyed,0.0,0.0
55,10/21/2025,Oxygen,Outgoing goods,44676,Anyed,0.0,0.0,8488.44,RYC,0.0,0.0
56,10/21/2025,Coolant,Outgoing goods,18276,Anyed,0.0,0.0,13707.0,RYC,0.0,0.0
57,10/21/2025,Enriched Uranium,Outgoing goods,8124,Anyed,0.0,0.0,6093.0,RYC,0.0,0.0
58,10/21/2025,Mechanical Parts,Outgoing goods,8124,Anyed,0.0,0.0,6093.0,RYC,0.0,0.0
59,10/21/2025,Robotics,Outgoing goods,2400,RYC,0.0,0.0,7200.0,RYC,0.0,0.0
60,10/21/2025,Liquid Ozone,Outgoing goods,710724,Anyed,0.0,0.0,284289.60000000003,RYC,0.0,0.0
61,10/21/2025,Heavy Water,Outgoing goods,345216,Anyed,0.0,0.0,138086.4,RYC,0.0,0.0
62,10/21/2025,Strontium Clathrates,Outgoing goods,40620,Anyed,0.0,0.0,121860.0,RYC,0.0,0.0
63,10/21/2025,Helium Isotopes,Outgoing goods,125298,Anyed,0.0,0.0,3758.94,RYC,0.0,0.0
64,10/21/2025,Hydrogen Isotopes,Outgoing goods,456894,Anyed,0.0,0.0,13706.82,RYC,0.0,0.0
65,10/21/2025,Nitrogen Isotopes,Outgoing goods,152298,Anyed,0.0,0.0,4568.94,RYC,0.0,0.0
66,10/21/2025,Oxygen Isotopes,Outgoing goods,152298,Anyed,0.0,0.0,4568.94,RYC,0.0,0.0
67,10/21/2025,Oxygen,Outgoing goods,13398,,0.0,0.0,2545.62,Anyed,0.0,0.0
68,10/21/2025,Coolant,Outgoing goods,5488,,0.0,0.0,4116.0,Anyed,0.0,0.0
69,10/21/2025,Enriched Uranium,Outgoing goods,2436,,0.0,0.0,1827.0,Anyed,0.0,0.0
70,10/21/2025,Mechanical Parts,Outgoing goods,2436,,0.0,0.0,1827.0,Anyed,0.0,0.0
71,10/21/2025,Robotics,Outgoing goods,70,,0.0,0.0,210.0,Anyed,0.0,0.0
72,10/21/2025,Liquid Ozone,Outgoing goods,213066,,0.0,0.0,85226.40000000001,Anyed,0.0,0.0
73,10/21/2025,Strontium Clathrates,Outgoing goods,12180,,0.0,0.0,36540.0,Anyed,0.0,0.0
74,10/21/2025,Heavy Water,Outgoing goods,103488,,0.0,0.0,41395.2,Anyed,0.0,0.0
75,10/21/2025,Nitrogen Isotopes,Outgoing goods,273938,,0.0,0.0,8218.14,Anyed,0.0,0.0
